_id,sum_app_opens,no_of_days,nrOfConversations,longestConversation,longestConversationInDays,averageConversationLength,averageConversationLengthInDays,medianConversationLength,medianConversationLengthInDays,nrOfOneMessageConversations,percentOfOneMessageConversations,nrOfGhostingsAfterInitialMessage,no_of_matches,no_of_msgs_sent,no_of_msgs_received,swipe_likes,swipe_passes,birthDate,ageFilterMin,ageFilterMax,cityName,country,createDate,education,gender,interestedIn,instagram,spotify,jobTitle,user_age
5862323c0e2699aad17a79418a0709a6,14404,1132,471,502,204,5.49,2.07,1,0,223,47.35,52,1370,2593,2366,143093,149956,1995-05-08,18,28,Paris,France,2016-07-14,Has no high school or college education,M,F,False,True,Product designer,21
59ac56fc75373a1228759057df2aa401,1350,159,16,140,8,13.12,1.05,4,0.0246875,4,25,2,29,210,255,6943,13600,1990-05-09,22,31,Lyon,France,2019-06-21,Has no high school or college education,M,F,False,False,unknown,29
5861915cf3690b6a5c8e6ebebbc134de,14280,1076,357,348,383,19.63,4.15,4,0.0561111111111111,83,23.25,15,644,6959,5022,86707,139997,1986-09-28,22,33,unknown,unknown,2015-01-21,Has high school and/or college education,M,F,False,False,unknown,28
5c7af04e285da1475c2348cec80b49ea,482,75,3,2,0,1.67,0,2,0.0001504629629629,1,33.33,0,19,5,0,5220,2662,1997-05-14,20,24,unknown,unknown,2019-10-21,Has no high school or college education,M,F,True,False,unknown,22
5abd4f7ec9779bbd8a961a4aab26b4b1,1307,149,81,36,18,2.84,0.43,1,0,13,16.05,39,322,231,355,1494,5924,2000-05-19,18,28,unknown,unknown,2019-12-10,Has no high school or college education,M,M,False,False,unknown,19
53fbeac29abbe82a1b778ab236e9ecb7,9719,1286,1275,868,920,20.22,11.01,5,0.0319675925925925,138,10.82,66,2650,25761,16256,41721,48998,1982-10-29,18,41,unknown,unknown,2016-08-03,Has high school and/or college education,M,F,True,False,Sr. Director,33
5e74c3d604ed70dd473c784d040fdbdc,9311,419,133,1480,50,41.35,5.7,6,2.5330787037037,16,12.03,0,141,5499,4319,26374,35713,1989-01-01,24,45,unknown,unknown,2019-04-22,Has no high school or college education,M,F,True,False,Architecte IT,30
607f0ad12c1efcaddc6de05081c2376e,6352,255,155,185,39,8.26,0.86,2,9.25925925925926E-05,34,21.94,40,1382,1281,990,5049,3269,1998-06-27,18,45,unknown,unknown,2019-03-09,Has no high school or college education,M,F,False,False,unknown,20
62292fba3e9dd9af3827c98c3500912b,13772,407,101,20,31,2.89,1.11,1,0,26,25.74,32,753,305,313,15205,35609,1997-07-04,19,30,Richmond,USA,2020-02-29,Has no high school or college education,M,F,False,False,unknown,22
62325f1c561e603ccebfdcb432dda0e8,26901,1285,817,170,309,8.94,2.61,3,0.0011805555555555,104,12.73,229,3777,6876,8250,49442,39092,1989-07-30,27,35,unknown,unknown,2015-05-02,Has no high school or college education,M,F,False,False,Software Developer,25
64762212f3f8897c359f19cb3012860d,450,9,15,59,0,6.07,0.01,1,0,1,6.67,7,54,91,139,147,9735,1992-01-01,26,32,unknown,unknown,2020-06-25,Has no high school or college education,F,M,False,False,unknown,28
72bbe06cfd45e7607593a2b21038eccc,4950,408,157,281,215,8.24,12.14,3,0.053125,52,33.12,5,249,1294,1054,26936,68463,1994-08-15,18,30,London,United Kingdom,2018-09-13,Has no high school or college education,M,F,False,False,unknown,24
63f8a7720b76ead4114b8c9fdfe2648a,8344,194,540,22,19,1.29,0.33,0,0,93,17.22,325,1374,694,1568,2989,89718,1996-10-31,22,28,San Diego,USA,2019-04-29,Has no high school or college education,F,M,False,False,unknown,22
75fc16a59b2f777aa2c616dc3d58188e,3187,299,73,179,7,13.51,0.5,7,0.064224537037037,7,9.59,1,141,986,636,9198,5582,1998-07-27,18,21,Cherbourg-en-Cotentin,France,2018-06-24,Has no high school or college education,M,F,True,True,unknown,19
7921cd7e02c0ca9c32615ec7b25d9cac,2471,652,8,32,15,7.75,2.06,6,0.131921296296296,2,25,1,249,62,80,6525,35331,1996-01-19,18,28,Jyväskylä,Finland,2016-06-09,Has high school and/or college education,M,F,False,False,Web Developer,20
7326d844ed769b1d987634d2a3ca18b9,44167,1123,917,102,1218,6.41,8.74,1,0,429,46.78,33,1500,5872,5602,36215,66184,1993-11-19,18,29,unknown,unknown,2014-09-15,Has high school and/or college education,M,F,True,True,unknown,20
86f950ce43d7e88e291b5a0e0ecffca3,8172,286,887,168,264,4.93,3.66,2,8.10185185185185E-05,348,39.23,64,2556,4377,4466,17688,12500,2000-07-09,18,24,São Paulo,Brazil,2019-08-20,Has no high school or college education,M,F,True,False,unknown,19
85c75c0bba5d0afbc4919e0797017e92,3940,485,99,31,2,3.01,0.15,1,0,21,21.21,39,878,298,435,13903,40935,2000-04-06,18,24,unknown,unknown,2018-11-11,Has no high school or college education,M,F,False,True,unknown,18
837357a86c027d481d25d201945de076,42,1,0,0,0,0,0,0,0,0,0,0,1,0,0,31,65,1996-11-29,18,26,unknown,unknown,2020-05-28,Has no high school or college education,M,F,False,False,unknown,23
7e29bf29d8ef02ecd97bdc5cf250b2a5,7693,196,419,230,77,7.86,1.73,2,0.0143055555555555,75,17.9,101,965,3295,3748,1837,95062,2001-07-25,18,22,Santa Clara,USA,2019-10-19,Has no high school or college education,F,M,False,True,Barista,18
8077faeaa4104af4f88db4c660e90371,5690,722,275,157,479,7.95,10.99,3,1.2815625,50,18.18,27,624,1521,2431,829,17141,1985-10-06,26,42,Kiel,Germany,2014-10-19,Has high school and/or college education,F,M,True,False,unknown,29
9c16cf2b40aaf1a2b0b535d80f041eb6,3506,400,332,148,50,6.36,1.81,2,0.0088541666666666,125,37.65,3,534,2113,1609,8435,10263,1994-02-07,20,35,Trondheim,Norway,2019-02-16,Has no high school or college education,M,F,False,False,Student,25
879d7037342891ec4380dcfd065f73c0,24624,1754,2335,1108,1525,10.57,13.64,3,0.0233680555555555,636,27.24,168,4956,7702,7874,13921,365268,1994-08-11,24,28,Carlton,Australia,2015-01-03,Has high school and/or college education,F,M,True,True,Analyst,20
87e6d3f89512c27673db4fff99f8a7d8,2726,157,82,114,70,14.15,2.08,4,0.0351273148148148,33,40.24,0,130,1159,1360,415,34593,1988-01-18,27,37,Richmond,USA,2019-08-04,Has no high school or college education,F,M,False,True,Medical Care Technician,31
872f5e29fe4d3d43de952222babb8a7d,2215,136,36,413,20,24.89,2.76,7,1.04445601851852,7,19.44,0,69,896,1108,4359,28880,1992-04-24,22,26,unknown,unknown,2019-01-24,Has no high school or college education,M,F,False,False,unknown,26
98dbfdbe60e16880422a8a0a9328580b,1958,56,59,115,31,8.36,1.73,1,0,18,30.51,15,205,497,658,624,23392,1996-08-16,24,35,unknown,unknown,2019-10-30,Has no high school or college education,F,M,False,False,unknown,23
a89268f6a1fae754a687a2105a9427a5,1789,30,24,168,12,24.46,2.97,13,1.52824074074074,3,12.5,0,146,601,531,1469,2264,1990-05-14,26,34,Dublin,Ireland,2020-01-04,Has no high school or college education,M,F,False,False,unknown,29
a6da6da01b344f257a360643de319f3b,10053,169,458,626,189,17.74,1.9,2,0.0045949074074074,98,21.4,104,1221,8121,8291,2540,68483,2000-06-19,18,22,unknown,unknown,2019-06-25,Has no high school or college education,F,M,False,False,unknown,19
a4af1796e32b82dca8227c1f92fddcd0,3511,441,16,14,53,2.69,4.28,1,0,9,56.25,1,58,43,26,8638,21017,1996-10-17,18,32,Skive,Denmark,2019-03-13,Has no high school or college education,M,F,False,False,unknown,22
a996c47c51c05d5822a75686bbc9f996,661,219,3,21,2,9.67,1.42,5,1.83109953703704,0,0,0,24,29,36,1553,8054,1994-08-02,23,33,Batesville,USA,2019-01-10,Has no high school or college education,M,F,False,False,Chemist,24
b98535635fe77db6324d881ac92190e5,9285,1296,946,133,1113,8.21,9.96,3,0.0904282407407407,315,33.3,66,3395,5372,4965,16500,10402,1992-11-01,20,25,unknown,unknown,2013-11-12,Has high school and/or college education,M,F,True,False,CEO,21
af571eb968ef03a34130778b447b77f9,7119,497,410,201,78,6.12,1.21,1,0,196,47.8,65,1305,2415,2267,38582,2186,1994-06-10,18,42,unknown,unknown,2014-09-06,Has no high school or college education,M,F,False,False,unknown,20
9c68e3638e8bb205ab8fccfe54d484e7,2426,243,56,24,85,5.05,2.91,2,0.0172569444444444,25,44.64,1,145,306,332,4048,52206,2000-05-26,18,24,unknown,unknown,2018-11-09,Has no high school or college education,M,M and F,True,True,Research Assistant,18
b4be096eaaf8ca70dc4d22e31f6b7e44,71,6,17,9,2,1.94,0.38,1,0,7,41.18,2,32,33,41,106,1335,1996-12-26,18,33,unknown,unknown,2020-02-19,Has no high school or college education,M,M,False,False,Software engineer,23
a714289aca7ba7497a6560a2fea72ae3,5798,843,847,34,505,2.97,4.41,1,0,397,46.87,45,1847,2517,1659,50459,1808,1998-03-12,18,1000,Vienna,USA,2015-04-13,Has high school and/or college education,M,F,False,True,Technology Analyst,17
aecfacc0295ca6880981402f4e286926,4455,180,72,332,33,30.51,3.38,14,1.40122685185185,7,9.72,3,146,2242,2576,212,58655,1995-07-30,25,32,unknown,unknown,2019-04-26,Has no high school or college education,F,M,True,True,Brow Waxing Expert,23
cccce00c77b648c501d899b99ad119c0,2549,429,31,74,9,11.48,1.35,2,0.0111226851851851,9,29.03,2,258,358,396,6990,92203,1995-10-26,21,25,Garden Grove,USA,2017-02-06,Has high school and/or college education,M,F,False,True,unknown,21
ceac22053c90d851cafce5be116570ba,140,21,29,44,10,2.72,0.35,1,0,6,20.69,14,86,77,122,317,1349,1998-03-16,21,30,unknown,unknown,2020-02-08,Has no high school or college education,F,M,False,False,unknown,21
c99b7682b609d391f16b2f70b5457949,4001,191,151,53,105,2.42,1.93,1,0,47,31.13,38,475,366,365,42037,14598,1989-08-03,18,23,unknown,unknown,2019-07-16,Has no high school or college education,M,F,True,False,False,29
cbaa90b40a57cb9a6740bd5bcaebcf2d,8370,293,334,244,1026,14.21,13.38,4,0.0501273148148148,88,26.35,12,713,4738,4080,87442,5454,1995-10-01,20,27,unknown,unknown,2017-04-04,Has high school and/or college education,M,F,False,False,Web Developer,21
cd630e28bf494750991619a5f00cb900,2042,46,284,715,16,10.12,0.42,0,0,19,6.69,207,974,2875,2740,7311,52772,1997-04-08,18,27,unknown,unknown,2020-04-05,Has no high school or college education,M,F,False,False,unknown,23
c97effa10b4dca25b7ca4f4ad9388706,1037,69,52,57,67,9.08,4.47,3,0.17537037037037,21,40.38,0,85,472,378,1149,2444,1996-03-01,20,27,asdf,Denmark,2020-04-04,Has no high school or college education,M,F,True,True,unknown,24
be87c1716696efa264b76418054bb358,12946,551,176,111,314,7.61,3.4,2,0.001724537037037,48,27.27,28,873,1339,1106,25870,23925,1994-09-27,20,27,Oslo,Norway,2019-04-25,Has no high school or college education,M,F,True,True,Software Engineer,24
cef50ce50692bb1260ae383c8e2a029c,90517,2123,3715,289,1970,6.71,3.81,1,0,760,20.46,1295,22120,22066,24472,229162,363855,1988-03-01,18,38,unknown,unknown,2014-05-06,Has no high school or college education,M,F,True,False,unknown,26
d5364695c40e3057a0cd377cbf21d915,4420,94,267,163,24,5.57,0.57,1,0,66,24.72,84,1172,1488,1523,5977,42558,2000-08-25,18,22,unknown,unknown,2020-02-23,Has no high school or college education,F,M and F,False,True,unknown,19
d0eb70f6adc9b3a957573b2cd0834604,2436,137,613,63,69,1.31,0.36,0,0,72,11.75,426,1361,806,1683,3987,22513,1996-12-29,22,30,Edmonton,Canada,2019-07-07,Has no high school or college education,F,M and F,True,True,unknown,22
f1e05ea3835fd931449971bda301713d,35392,1111,1310,219,933,6.15,6.57,2,0.0036111111111111,579,44.2,12,1751,8055,6661,112992,19445,1998-08-19,18,23,Seattle,USA,2016-11-10,Has high school and/or college education,M,F,True,True,unknown,18
ec8e335c7f9c46f2719b4e95276b9213,1073,212,5,5,111,2.8,33.32,3,0.0022800925925925,2,40,0,12,14,6,2258,4024,1994-01-09,18,30,Munich,Germany,2014-06-22,Has high school and/or college education,M,F,False,False,unknown,20
dcbbdea918ea83820eef63a0f07bbfb2,3260,315,163,99,23,6.8,1.35,2,0.0002662037037037,55,33.74,1,242,1169,891,43047,14886,1993-04-08,18,35,Munich,Germany,2018-04-16,Has no high school or college education,M,F,False,False,unknown,25
df8f8689fb3a2ad08173b79f6c0d1fc6,706,11,2,69,6,35.5,3.06,69,6.11565972222222,0,0,0,6,70,45,718,3381,1995-10-10,18,25,unknown,unknown,2020-04-28,Has no high school or college education,M,F,False,False,unknown,24
df9f212778953af42299232ab4e32cba,1620,118,71,195,6,9.62,0.26,2,9.25925925925926E-05,13,18.31,15,186,683,644,750,24596,2001-04-21,19,23,unknown,unknown,2019-06-10,Has no high school or college education,F,M,False,False,unknown,18
f1c77c17da0b2d947fae38d917c0d535,780,27,5,168,2,48.6,0.62,7,0.0079976851851851,1,20,0,6,243,222,970,7841,2000-06-16,18,21,Saint-Maur-des-Fossés,France,2019-06-23,Has no high school or college education,M,F,True,False,unknown,19
e7b22665d75a03a0364a5a60281dcb3a,20076,866,384,155,466,9.41,6.29,3,0.0325462962962962,109,28.39,1,516,3615,3667,47228,44093,1992-03-28,24,31,unknown,unknown,2017-08-06,Has high school and/or college education,M,F,True,False,unknown,25
f53192d066ece7af652a69a17532f061,447,3,12,7,1,2.5,0.2,2,1.15740740740741E-05,6,50,0,13,43,36,385,1036,1996-09-13,18,40,unknown,unknown,2020-05-17,Has no high school or college education,M,F,False,False,unknown,23
eeb17b87605691c1748fa6e1217860d0,3833,228,156,232,239,15.08,6.21,4,0.0129976851851851,32,20.51,19,1064,2352,2663,4526,28096,1996-10-29,22,30,unknown,unknown,2019-06-09,Has no high school or college education,F,M and F,True,True,unknown,22
e33a8d4fe34f9a7769b2b7db9d655655,4531,135,91,127,91,19.18,8.31,8,1.61694444444444,9,9.89,4,132,1750,865,2836,3712,1987-02-07,23,35,Basel,Switzerland,2019-11-24,Has no high school or college education,M,F,False,False,unknown,32
d81b5d32c63759d8a91b6ca430e45748,2031,140,222,353,34,11.57,0.98,2,0.0001851851851851,21,9.46,88,826,5,51,956,8064,1996-07-24,21,25,unknown,unknown,2014-03-08,Has high school and/or college education,F,M,False,False,unknown,17
e5cf4adde29062b8b85ca31726d5c73f,3881,213,351,97,20,6.68,0.89,2,0.0119212962962962,115,32.76,41,616,2391,3160,1669,31452,1994-01-04,24,30,Seongnam-si,South Korea,2020-03-03,Has no high school or college education,F,M,True,False,unknown,26
ebaa9ab3c1b0c36c54ed8b3079213a62,706,75,59,42,25,7.93,2.16,5,0.202523148148148,14,23.73,4,109,525,688,202,13531,1996-04-05,24,30,Toronto,Canada,2020-01-07,Has no high school or college education,F,M and F,True,True,Property Manager,23
436c6643196d7c2f1563d3662ac10ab7,1827,248,496,33,280,1.66,2.53,1,0,120,24.19,240,1479,822,1963,3854,64045,1989-11-14,26,36,Pompano Beach,USA,2018-11-09,Has no high school or college education,F,M,True,False,Content marketing consultant,29
0f9753e59e69c0965c2418d56d047676,7858,933,385,148,303,9.54,2.66,3,0.0114930555555555,99,25.71,6,998,3371,2350,35037,35290,1993-02-19,20,40,unknown,unknown,2014-02-02,Has high school and/or college education,M,F,False,False,unknown,20
2a589b48b66eed314ea98672852d33de,558,111,31,10,1,1.55,0.09,1,0,10,32.26,13,167,48,73,10443,2346,1996-12-30,20,1000,Wellington,New Zealand,2019-06-09,Has no high school or college education,M,F,False,True,unknown,22
2db8f3512addaf8fa83df76ad09d931e,9975,216,307,76,59,3.86,1.75,2,0.0026851851851851,124,40.39,8,478,1196,1224,8972,6666,1994-07-26,21,30,Columbus,USA,2018-12-06,Has no high school or college education,M,F,False,True,Software developer,24
1ac53ffae85b2a82cc85cc5fbe07e0dc,2093,57,77,198,26,11.49,1.46,3,0.0532291666666666,22,28.57,0,99,885,720,2189,6741,1999-02-01,19,24,unknown,unknown,2020-07-07,Has no high school or college education,M,F,False,True,unknown,21
48577c92e4c59d8603d6cdc4fe04f221,1957,204,17,1051,39,105.47,5.89,4,0.48931712962963,4,23.53,1,43,1793,2180,3579,6894,1997-10-23,21,22,unknown,unknown,2019-11-29,Has no high school or college education,M,F,False,False,unknown,22
405e109c8904421b0c98955f31a04d46,8003,472,2133,23,283,1.79,0.59,2,2.31481481481481E-05,854,40.04,46,2731,3822,3242,13773,41821,1994-10-21,18,30,unknown,unknown,2019-03-26,Has no high school or college education,M,F,False,True,unknown,24
991c1db658fff09f3505a1399e07185a,1645,20,37,5,1,1.38,0.05,1,0,10,27.03,14,370,52,66,2186,8549,1995-07-10,20,28,unknown,unknown,2020-08-15,Has no high school or college education,M,F,False,False,unknown,25
1429e542fc9135be6f100bac9766c698,1050,32,14,314,5,39.79,1.05,7,0.175671296296296,0,0,1,17,557,496,2485,1446,1993-01-06,18,30,Debrecen,Hungary,2020-07-26,Has no high school or college education,M,F,False,False,unknown,27
66d6359183404315a1e90fdc4fa51fb2,2913,215,31,58,9,9.74,1.23,5,0.416550925925926,5,16.13,1,101,302,253,15823,22707,1995-11-11,18,30,unknown,unknown,2020-02-01,Has no high school or college education,M,F,False,False,unknown,24
af76185e511a45328a4cd6a7c5360fff,616,36,18,56,17,22.06,4.73,10,1.3934837962963,2,11.11,0,22,397,250,1539,5402,1994-02-12,18,35,Mannheim,Germany,2020-08-02,Has no high school or college education,M,F,True,False,unknown,26
b0c4f6e51b7633b7c5eb182f67d6602f,2595,90,113,60,20,4.97,1.12,2,0.0066319444444444,47,41.59,9,289,562,589,7293,1400,1995-01-01,23,50,Roanoke,USA,2018-06-04,Has no high school or college education,M,F,False,False,unknown,23
a985514a25cfa2eb21b1f1f6e1fbe36a,2842,258,2,1,0,1,0,1,0,2,100,0,3,2,4,5412,20206,1992-11-11,18,26,unknown,unknown,2019-09-11,Has no high school or college education,M,F,False,False,Writer,26
f1d02c9b075e10f6e52ea435ae508bfe,5022,270,432,59,73,3.81,1.12,2,4.62962962962963E-05,101,23.38,100,809,1644,1412,14827,14289,2000-01-01,18,23,Central,China,2019-12-10,Has no high school or college education,M,F,False,False,unknown,19
00b113ee72d90509f1ae8589044076ee,8438,656,0,0,0,0,0,0,0,0,0,0,2023,4793,4764,15315,28662,1996-07-12,18,100,Prague,Czechia,2018-06-10,Has no high school or college education,M,F,False,False,unknown,21
70713028344f515a384235d571dfff88,1159,94,9,154,12,39.56,3.07,6,0.410486111111111,1,11.11,0,24,359,198,1053,2520,1993-06-12,21,31,unknown,unknown,2020-05-04,Has no high school or college education,M,F,False,False,unknown,26
ffc7f549d9a2899b7e70e3df5ff6e60a,12402,1555,113,147,202,12.93,2.58,5,0.0344907407407407,28,24.78,1,865,1461,1582,103464,94647,1996-07-16,21,45,Swindon,United Kingdom,2015-10-16,Has high school and/or college education,M,F,True,False,False,19
6d172ab71f6eeef43aa3ab44c4d62370,877,176,4,4,0,1.75,0.11,1,0,3,75,0,16,7,4,6026,8342,1996-05-16,18,1000,Swindon,United Kingdom,2020-02-29,Has no high school or college education,M,F,True,True,unknown,23
7ae835c11c4907e9c87c7ba9b70dc4a4,9075,333,417,164,401,5.49,3,3,0.0242013888888888,86,20.62,53,1427,2290,2973,2157,41445,1997-04-24,22,32,unknown,unknown,2017-04-24,Has no high school or college education,F,M,False,True,unknown,20
4bfe95db9208e17a08be783053653ad4,7884,1083,91,24,524,3.48,34.6,1,0,41,45.05,9,210,317,304,83555,132416,1993-04-13,18,29,Toronto,Canada,2015-07-31,Has high school and/or college education,M,F,True,False,unknown,22
9bf041dbcb43abf3013bd82e4f797bfa,682,35,12,5,1,1.25,0.07,1,0,4,33.33,5,33,15,19,4296,27997,1993-05-14,23,32,Toronto,Canada,2020-08-21,Has no high school or college education,M,F,False,False,unknown,27
72983c8b1a776df2254aae4009f163c3,8913,233,269,202,163,13.82,12.22,4,1.36219907407407,51,18.96,1,276,3718,3252,24024,13626,1997-09-22,18,25,unknown,unknown,2020-02-08,Has no high school or college education,M,F,False,True,unknown,22
9a2aa467dfd9d2ac51b1e79d231b0c00,183,12,27,130,4,18,0.25,5,0.0208564814814814,6,22.22,5,171,486,348,1235,5143,1989-11-15,28,40,Wellington,New Zealand,2020-09-19,Has no high school or college education,F,M,False,False,unknown,30
771ff787187ee8e81613638378bc7952,7153,114,6817,152,104,2.78,0.48,1,0,4807,70.51,57,6829,18967,16969,101244,147,1994-03-11,18,1000,unknown,unknown,2020-06-09,Has no high school or college education,M,F,False,False,unknown,26
4d4e9216bb1f09b20f2867e7e3572f96,1609,149,42,18,4,2.5,0.25,1,0,21,50,3,125,105,80,10692,9752,1998-12-07,18,24,unknown,unknown,2019-12-08,Has no high school or college education,M,F,False,False,unknown,21
2e1194e9fa3359384540d4a5641330a8,5963,892,55,38,507,4.22,11.8,1,0,14,25.45,20,174,237,250,850,64988,1997-02-10,21,35,unknown,unknown,2016-05-22,Has no high school or college education,F,F,False,False,unknown,19
b4e6d6a79b772f28ef4ee5a18da94a47,256,48,7,3,6,1.57,1.33,1,0,3,42.86,1,15,11,11,1250,5192,1990-10-03,21,30,unknown,unknown,2019-08-28,Has no high school or college education,M,F,False,False,unknown,28
